Merit,Dept.-Univ.
1351,CE-RUET
1352,EEE-RUET
1353,CE-KUET
1354,EEE-CUET
1355,EEE-RUET
1356,EEE-CUET
1357,CE-KUET
1358,EEE-CUET
1359,EEE-RUET
1360,CE-RUET
1361,ECE-KUET
1363,EEE-CUET
1364,ME-CUET
1365,EEE-RUET
1366,EEE-RUET
1367,ME-CUET
1368,ME-CUET
1370,CE-CUET
1371,ECE-RUET
1372,EEE-CUET
1374,CE-KUET
1375,EEE-RUET
1376,CE-KUET
1377,CE-KUET
1378,EEE-CUET
1379,CE-KUET
1380,ECE-RUET
1381,EEE-CUET
1382,CE-KUET
1384,EEE-CUET
1386,ECE-RUET
1387,EEE-RUET
1388,ECE-RUET
1389,EEE-RUET
1390,CE-KUET
1392,EEE-CUET
1393,EEE-RUET
1394,CE-KUET
1395,EEE-CUET
1398,EEE-RUET
1399,EEE-RUET
1400,CE-RUET
1401,ECE-RUET
1402,ME-RUET
1403,ECE-KUET
1404,CE-KUET
1405,CE-KUET
1406,ME-CUET
1407,ME-CUET
1409,CE-RUET
1412,ME-RUET
1413,ME-RUET
1416,ME-CUET
1417,CE-KUET
1418,CE-CUET
1419,ECE-KUET
1420,CE-KUET
1421,ME-CUET
1422,CE-CUET
1423,CE-KUET
1424,CE-KUET
1425,CE-KUET
1426,ME-RUET
1427,ME-CUET
1428,ME-CUET
1429,CE-KUET
1430,CE-KUET
1431,ME-CUET
1432,ME-CUET
1433,CE-KUET
1434,CE-KUET
1435,ME-CUET
1436,ME-CUET
1437,ECE-RUET
1438,ME-CUET
1439,CE-KUET
1442,CE-RUET
1443,ME-RUET
1444,CE-KUET
1445,ME-RUET
1446,ME-RUET
1447,CE-KUET
1448,ECE-RUET
1449,CE-RUET
1450,ME-RUET
1451,CE-KUET
1453,CE-KUET
1454,ECE-KUET
1455,CE-KUET
1456,ME-CUET
1458,ME-CUET
1459,ME-RUET
1460,ME-CUET
1461,ECE-RUET
1462,ECE-RUET
1463,ME-CUET
1464,CE-KUET
1465,CE-KUET
1466,CE-RUET
1467,ME-RUET
1468,CE-CUET
1469,CE-KUET
1471,ME-RUET
1473,CE-CUET
1474,ECE-KUET
1475,ME-RUET
1476,ECE-RUET
1477,CE-KUET
1478,CE-RUET
1479,ME-CUET
1480,CE-KUET
1481,ECE-RUET
1482,CE-KUET
1483,MTE-RUET
1484,ME-RUET
1485,ME-CUET
1486,ECE-RUET
1487,ME-CUET
1488,ECE-RUET
1489,ME-RUET
1490,CE-KUET
1491,ME-CUET
1493,CE-CUET
1494,ECE-KUET
1495,ME-CUET
1496,ME-CUET
1497,CE-KUET
1498,CE-KUET
1499,CE-KUET
1500,CE-CUET
1501,ME-CUET
1502,ME-CUET
1503,ME-CUET
1504,CE-KUET
1506,CE-KUET
1508,ME-CUET
1510,CE-RUET
1511,CE-KUET
1512,ME-RUET
1513,CE-CUET
1514,ME-CUET
1515,ME-RUET
1516,ME-RUET
1517,ME-CUET
1519,CE-CUET
1520,CE-KUET
1521,CE-RUET
1522,ME-CUET
1523,ETE-CUET
1524,CE-KUET
1525,CE-KUET
1526,ME-CUET
1527,ECE-KUET
1528,ME-CUET
